source,id,labs_id,name,date,country,format,players,url
major,518,0070,"NAIC 2026, New Orleans",2026-06-10,US,standard,3752,https://www.limitlesstcg.com/tournaments/518
major,540,0069,Special Event Turin,2026-06-06,IT,standard,2033,https://www.limitlesstcg.com/tournaments/540
major,559,0068,"Regional Indianapolis, IN",2026-05-30,US,standard,1974,https://www.limitlesstcg.com/tournaments/559
major,536,0067,Special Event Lima,2026-05-23,PE,standard,499,https://www.limitlesstcg.com/tournaments/536
major,550,0066,Regional Melbourne,2026-05-23,AU,standard,959,https://www.limitlesstcg.com/tournaments/550
major,544,0065,Regional Campinas,2026-05-16,BR,standard,1725,https://www.limitlesstcg.com/tournaments/544
major,535,0064,Regional Utrecht,2026-05-16,NL,standard,2150,https://www.limitlesstcg.com/tournaments/535
major,558,0063,"Regional Los Angeles, CA",2026-05-09,US,standard,1849,https://www.limitlesstcg.com/tournaments/558
major,539,0062,Regional Prague,2026-04-25,CZ,standard,1370,https://www.limitlesstcg.com/tournaments/539
major,565,,Korean League Season 4,2026-04-25,KR,standard,397,https://www.limitlesstcg.com/tournaments/565
